true_question,question_1,prob_1,question_2,prob_2,question_3,prob_3
In which story do three plus culprits die?,in which story does 3 + culprits die,0.894234359264374,in which story does three plus culprits die,0.867134809494019,in which story does 3plus culprits die,0.845788240432739
"How many people did the murderer kill in ""The A.B.C."" murders?", how many people did the murderer kill in the ABC murders,0.944251716136932, how many people did the murderer killer in the ABC murders,0.885571956634522, how many people did the murderer kills in the ABC murders,0.885571956634522
What is the name of the detective usually played in Christie's stories?, what is the name of the detective usually played in Christie's stories,0.942646443843842, what is the name of the detective usually played in Christy's stories,0.887309372425079, what is the name of the detective usually played in Christie stories,0.885130345821381
"What change was made to the murderer in ""Witness for Protection"" when it was turned into a stage play?", what change was made to the murderer in witness protection when it was turned into a stage play,0.933919191360474, what change was made to the murderer in witness the protection when it was turned into a stage play,0.908299624919891, what change was made to the murder in witness protection when it was turned into a stage play,0.893384218215942
"Where does ""Death Comes as an End"" take place?", where does death comes as an end take place,0.941267490386963, where does death comes as an end to take place,0.824015974998474, where does death comes an end take place,0.895872235298157
Who said Christie often makes an unlikely character the culprit?, who said Christy off and makes an unlikely character the culprit,0.904545307159424, who said Christy often makes an unlikely character the culprit,0.911205351352692, who said Christie off and makes an unlikely character the culprit,0.854998409748077
Brian Aldiss said Christie writes her story all the way to the last chapter then decides what?, Brian aldiss said Christie write her story all the way to the last chapter and then decide to what,0.931424617767334, Brian aldiss said Christy Wright her story all the way to the last chapter and then decide to what,0.869088470935822, Brian aldiss said Christie write her story all the way to the last chapter and then decides what,0.89784562587738
Which story doesn't contain any known suspects?, which story doesn't contain any known suspect,0.892945528030396, which story doesn't contain any known Suspects,0.910889208316803, witch story doesn't contain any known suspect,0.817955374717712
What is the first step in the classic mystery structure Christie is known for?, what is the first step in the classic mystery structure Christian known for,0.893206417560577, what is the first step in the classic mystery structure Christians known for,0.892600536346435, what is the first step in the classic mystery structure Christian's known for,0.89259797334671
Christie has the reputation as being the queen of what?, Christy has the reputation as being the Queen of what,0.887125372886658, Christie has the reputation as being the Queen of what,0.886393487453461, Kristy has the reputation as being the Queen of what,0.88713663816452
What is the name of Agatha Christie's most famous detective?, what is the name of Agatha Christie's most famous detective,0.93995612859726, what is the name of Agatha Christie most famous detective,0.86391806602478, what is the name of Agatha Christie's the most famous detective,0.881234347820282
What title has been given to Agatha Christie in response to the theming of her works?, what title has been given to Agatha Christie in response to the filming of her works,0.943658828735352, what title has been given to Agatha Christie in response to the feeling of her works,0.899014711380005, what title has been given to Agatha Christie in response to the theming of her works,0.89198362827301
Which of Agatha Christie's stories had all of the suspects end up being guilty?, which should I get for Christie's stories had all of the suspects and up being guilty,0.903137683868408, which should I get for Christie stories had all of the suspects and up being guilty,0.925047814846039, which should I get for Christie's stories had all of the suspects end up being guilty,0.871974885463715
What is one way some people say you can determine the guilty party in an Agatha Christie novel?, what is one way some people say you can determine the guilty party in an Agatha Christie novel,0.926705539226532, what is one-way some people say you can determine the guilty party in an Agatha Christie novel,0.887072861194611, what is 1 way some people say you can determine the guilty party in an Agatha Christie novel,0.889029860496521
Who wrote Agatha Christie: The Secret Notebooks?, who wrote Agatha Christie the secret notebooks,0.943541765213013, who wrote Agatha Christie the secret note books,0.78491622209549,,
